date,value
2022-11-03,0 days 06:16:00
2022-11-04,0 days 01:57:00
2022-11-05,0 days 02:33:00
2022-11-06,0 days 02:49:00
2022-11-07,0 days 01:56:00
2022-11-08,0 days 03:04:00
2022-11-09,0 days 04:02:00
2022-11-10,0 days 03:42:00
2022-11-11,0 days 01:31:00
2022-11-12,0 days 04:04:00
2022-11-13,0 days 04:25:00
2022-11-14,0 days 03:20:00
2022-11-15,0 days 02:44:00
2022-11-16,0 days 01:17:00
2022-11-17,0 days 03:40:00
2022-11-18,0 days 02:58:00
2022-11-19,0 days 02:19:00
2022-11-20,0 days 01:28:00
2022-11-21,0 days 02:35:00
2022-11-22,0 days 02:51:00
2022-11-23,0 days 01:39:00
2022-11-24,0 days 01:26:00
2022-11-25,0 days 02:10:00
2022-11-26,0 days 01:49:00
2022-11-27,0 days 01:54:00
2022-11-28,0 days 01:10:00
2022-11-29,0 days 02:00:00
2022-11-30,0 days 01:16:00
2022-12-01,0 days 01:41:00
2022-12-02,0 days 04:04:00
2022-12-03,0 days 01:37:00
